specimenAgingtime;specimenAgingT;specimenCreepStress;specimenMaterialStateName;specimen_ID;tEMProcess;transmissionElectronMicroscope;manufacturerSeries;tEMManufacturer;calibrationFactor;dFImage_ID;precipitateGeometryMeasurement;particleNumber;particleArea;weightedXPositionCentralPoint;weightedYPositionCentralPoint;perimeter;elipseFitMajorAxis;elipseFitMinorAxis;particleRadius_nm;labDFImage_ID;softwareAgent;;;
0;0;0;T61;T61_1;tEMProcess_52;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_52;T61_1_1_52;90;181.944;748.344;34.627;11.664;9.825;0.8028558523;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_53;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_53;T61_1_1_53;702;1938.182;776.571;98.669;31.704;28.192;2.2422543683;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_54;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_54;T61_1_1_54;245;1723.671;786.716;58.87;20.177;15.46;1.3246445741;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_55;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_55;T61_1_1_55;535;1092.405;796.382;85.841;27.87;24.441;1.9574614313;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_56;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_56;T61_1_1_56;240;1334.908;807.254;71.255;20.863;14.647;1.3110581167;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_57;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_57;T61_1_1_57;1855;894.517;841.08;176.167;62.54;37.766;3.6449223414;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_58;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_58;T61_1_1_58;978;1854.696;824.802;118.468;39.827;31.266;2.6465844112;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_59;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_59;T61_1_1_59;790;1539.128;833.513;106.225;34.435;29.211;2.3786463013;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_60;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_60;T61_1_1_60;545;596.162;834.172;86.083;27.097;25.608;1.9756707669;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_61;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_61;T61_1_1_61;551;1034.351;847.366;90.912;32.545;21.556;1.9865162506;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_62;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_62;T61_1_1_62;230;248.5;845.3;55.113;17.941;16.322;1.2834538017;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_63;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_63;T61_1_1_63;53;801.538;844.217;26.042;9.108;7.409;0.6161043250;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_64;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_64;T61_1_1_64;732;774.393;870.671;99.74;32.487;28.688;2.2896645661;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_65;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_65;T61_1_1_65;304;1890.674;870.086;65.012;20.404;18.97;1.4755472278;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_66;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_66;T61_1_1_66;442;57.525;876.367;78.669;27.586;20.401;1.7792110100;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_67;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_67;T61_1_1_67;373;1323.698;892.277;73.012;25.325;18.753;1.6344466097;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_68;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_68;T61_1_1_68;406;352.18;898.695;75.841;26.741;19.331;1.7052157665;L_T61_1_1;ImageJ;;;
